host	cocktail	condition	phage_measured	timepoint	value1	value2	value3
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	SDS1	48h	9.21632667	9.62278167	9.23736333
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	SDS1	72h	9.55181333	9.67808167	9.51898
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	0h	7.478245667	7.702488	7.878328
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	24h	8.010932	8.031317667	8.871284
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	48h	8.440803667	8.298104	9.10622
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	with host	Carl	72h	8.344193333	8.292786	9.641352
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	0h	7.881527333	7.632467667	7.877324
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	24h	7.722873667	7.714896667	7.724716
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	48h	7.523448667	7.816825	7.7458
YI6	Yi6-1_Cocktail 3 (Carl+SDS1+Ump)	no host	Carl	72h	7.836324333	7.829233667	7.82612
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	CCS1	0h	11.80268	11.680672	11.28394133
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	CCS1	24h	10.827824	10.90272	10.4178
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	CCS1	48h	14.195728	13.917888	13.458436
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	CCS1	72h	14.271832	13.969832	13.68011333
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	CCS1	0h	11.2504	11.43424	10.29667733
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	CCS1	24h	11.006608	10.752928	10.80402133
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	CCS1	48h	10.76984	10.60072	10.23840133
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	CCS1	72h	10.862856	11.666176	11.717012
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	Ben	0h	9.786197667	9.711913667	9.435763
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	Ben	24h	7.366661667	7.378158	7.476439
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	Ben	48h	9.727831667	9.687152333	9.360898
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	with host	Ben	72h	9.738443667	9.631439333	9.527027
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	Ben	0h	7.158843333	7.744272	7.42439
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	Ben	24h	7.417953	7.188910667	7.646846
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	Ben	48h	7.272922333	7.144694	7.273234
YI6	Yi6-1_Cocktail 4 (Ben+CCS1)	no host	Ben	72h	7.302105333	7.985695	8.28712
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	CCS2	0h	7.411378	7.474784	7.7748
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	CCS2	24h	10.137836	9.91268	9.7242
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	CCS2	48h	10.139777	9.678466	9.729
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	CCS2	72h	9.761282	9.682348	9.8322
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	CCS2	0h	7.593832	7.556306	7.725
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	CCS2	24h	7.453433	7.556953	7.6728
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	CCS2	48h	7.729055	7.659179	7.7952
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	CCS2	72h	7.79699	8.729964	7.7712
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	Ben	0h	7.4654	7.663175	7.739969
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	Ben	24h	8.917325	8.313875	8.357707
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	Ben	48h	8.32265	8.299025	9.9415585
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	with host	Ben	72h	8.3645	8.3213	8.359013
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	Ben	0h	7.583525	7.5977	7.625694
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	Ben	24h	7.47485	7.5761	7.627653
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	Ben	48h	7.709075	7.7867	7.709278
YI6	Yi6-1_Cocktail 5 (Ben+CCS2)	no host	Ben	72h	7.798175	7.892675	7.706666
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Ump	0h	9.37036	10.31831267	10.14702
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Ump	24h	16.58558267	16.81470867	15.953541
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Ump	48h	14.79300867	15.651108	15.77500367
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Ump	72h	16.65746533	15.46690867	17.24793667
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Ump	0h	9.046888	9.90948	9.043334667
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Ump	24h	10.27787867	9.190653333	10.24259
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Ump	48h	10.300342	9.743251333	10.08658467
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Ump	72h	12.13335	10.88888133	11.766029
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Carl	0h	7.299418667	7.368892	7.406494
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Carl	24h	7.860926667	8.052182667	8.246102
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Carl	48h	7.822512	8.043192	8.174317333
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	with host	Carl	72h	8.031749333	7.791453333	8.150692
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Carl	0h	7.39096	7.422018667	7.624574
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Carl	24h	7.105710667	7.293697333	7.592770667
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Carl	48h	7.603466667	7.390142667	7.493726
YI6	Yi6-1_Cocktail 6 (Carl+Ump)	no host	Carl	72h	7.649237333	7.733422667	7.762691333
YI6	Yi6-1_Cocktail 7 (Bill+Ump)	with host	Bill	0h	8.055967333	7.940472667	8.046218
YI6	Yi6-1_Cocktail 7 (Bill+Ump)	with host	Bill	24h	9.102177	9.392756667	9.137245667
