Host	Phage	Timepoint (Hr)	MOI 0.1	MOI 0.1	MOI 0.1	Mean (MOI 0.1)	MOI 0.01	MOI 0.01	MOI 0.01	Mean (MOI 0.01)	MOI 0.001	MOI 0.001	MOI 0.001	Mean (MOI 0.001)	Positive control	Positive control	Positive control	Mean	Negative control (Only BHI)	Negative control (Only BHI)	Negative control (Only BHI)	Mean
EF11	EF11_Bop	72	0.3164	0.3286	0.2706	0.3052	0.3805	0.434	0.4386	0.4177	0.3563	0.1944	0.2101	0.2536	0.9129	0.8758	0.858	0.882233333	0.10895	0.1088	0.1091	0.10895
EF11	EF11_Bill	72	0.3282	0.2258	0.3602	0.304733333	0.5201	0.4745	0.5611	0.518566667	0.5862	0.7098	0.7342	0.676733333	0.9129	0.8758	0.858	0.882233333	0.10895	0.1088	0.1091	0.10895
EF11	EF11_Car	72	0.2212	0.255	0.2833	0.253166667	0.2106	0.3156	0.258	0.2614	0.236	0.2435	0.2817	0.253733333	0.9129	0.8758	0.858	0.882233333	0.10895	0.1088	0.1091	0.10895
EF11	EF11_SDS1	72	0.3246	0.4333	0.4884	0.415433333	0.3541	0.3303	0.441	0.375133333	0.2396	0.2679	0.2139	0.240466667	0.9129	0.8758	0.858	0.882233333	0.10895	0.1088	0.1091	0.10895
EF11	EF11_SDS2	72	0.4443	0.4592	0.5469	0.483466667	0.5264	0.5569	0.4469	0.510066667	0.4825	0.192	0.3562	0.343566667	0.9129	0.8758	0.858	0.882233333	0.10895	0.1088	0.1091	0.10895
EF11	EF11_Ump	72	0.3514	0.3878	0.3114	0.3502	0.2045	0.2597	0.2462	0.2368	0.2686	0.2151	0.2172	0.233633333	0.9129	0.8758	0.858	0.882233333	0.10895	0.1088	0.1091	0.10895
EF11	EF 11_Cocktail 1 (Ben+Bop)	72	0.2644	0.3329	0.3724	0.323233333	0.3273	0.3806	0.439	0.3823	0.2071	0.2282	0.1968	0.2107	0.7987	0.7816	0.8389	0.8064	0.0992	0.1009	0.0999	0.1
EF11	EF 11_Cocktail 2 (Bop+SDS2)	72	0.2932	0.1568	0.328	0.259333333	0.4063	0.3682	0.2146	0.3297	0.1392	0.1554	0.4751	0.256566667	0.7987	0.7816	0.8389	0.8064	0.0992	0.1009	0.0999	0.1
EF11	EF 11_Cocktail 3 (SDS1+SDS2)	72	0.4163	0.2112	0.3394	0.3223	0.486	0.3489	0.3474	0.3941	0.2046	0.2188	0.2469	0.223433333	0.9123	0.866	0.8085	0.862266667	0.1059	0.1074	0.1059	0.1064
EF11	EF 11_Cocktail 4 (Bop+Ump)	72	0.2495	0.1898	0.2864	0.2419	0.2682	0.2648	0.2758	0.2696	0.2034	0.1565	0.2293	0.1964	0.7987	0.7816	0.8389	0.8064	0.0992	0.1009	0.0999	0.1
EF11	EF 11_Cocktail 5 (Ben+Car+Carl)	72	0.3335	0.3459	0.3002	0.326533333	0.2573	0.3029	0.332	0.2974	0.3492	0.3351	0.3197	0.334666667	0.9123	0.866	0.8085	0.862266667	0.1059	0.1074	0.1059	0.1064
EF11	EF 11_Cocktail 6 (Bop+Bill+Car)	72	0.3687	0.2769	0.4279	0.357833333	0.4448	0.3598	0.3476	0.384066667	0.3294	0.3397	0.3635	0.3442	0.9123	0.866	0.8085	0.862266667	0.1059	0.1074	0.1059	0.1064
EF11	EF 11_Cocktail 7 (Car+Bop+Ump)	72	0.338	0.3169	0.4196	0.358166667	0.4263	0.4488	0.433	0.436033333	0.3164	0.3733	0.317	0.335566667	0.9123	0.866	0.8085	0.862266667	0.1059	0.1074	0.1059	0.1064
EF11	EF 11_Cocktail 8 (SDS1+SDS2+Ump)	72	0.3832	0.4951	0.5072	0.461833333	0.227	0.5172	0.3151	0.3531	0.357	0.1819	0.3543	0.297733333	0.9123	0.866	0.8085	0.862266667	0.1059	0.1074	0.1059	0.1064
EF11	EF 11_Cocktail 9 (SDS2+Ben+Ump)	72	0.1843	0.1585	0.242	0.194933333	0.4705	0.4418	0.3217	0.411333333	0.2162	0.3237	0.2544	0.264766667	0.9123	0.866	0.8085	0.862266667	0.1059	0.1074	0.1059	0.1064
EF11	EF 11_Cocktail 10 (Ben+Bop+SDS2)	72	0.302	0.4361	0.395	0.3777	0.4879	0.485	0.5022	0.4917	0.4213	0.3878	0.352	0.387033333	0.7987	0.7816	0.8389	0.8064	0.0992	0.1009	0.0999	0.1
